Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
37,4990927703,dfssheets,0,99.9,C Dylan Larkin C Joel Eriksson Ek D Rasmus Dahlin D Mattias Samuelsson G Ukko-Pekka Luukkonen UTIL Marcus Johansson W Tage Thompson W Alex Tuch W Lawson Crouse,,Mikhail Sergachev,D,9.55%,12.3
38,4990852445,hawkeyemcnutt (3/3),0,99.8,C Joel Eriksson Ek C Anze Kopitar D Quinn Hughes D Filip Hronek G Filip Gustavsson UTIL Brock Boeser W Kirill Kaprizov W Mats Zuccarello W Corey Perry,,Jake DeBrusk,UTIL,9.55%,10.5
38,4991150723,tecmo27 (1/5),0,99.8,C Auston Matthews C John Tavares D Morgan Rielly D Mikey Anderson G Dennis Hildeby UTIL Michael Carcone W William Nylander W Matthew Knies W Daniil But,,Blake Coleman,W,8.92%,12.3
40,4991115219,yolegacy (2/2),0,98.600006,C Dylan Larkin C Joel Eriksson Ek D Brock Faber D Tyler Myers G Karel Vejmelka UTIL Matt Boldy W Lucas Raymond W Emmitt Finnie W Marcus Johansson,,Karel Vejmelka,G,8.92%,5.6
40,4990733654,nolt0032 (5/5),0,98.6,C Dylan Larkin C Nick Schmaltz D Brandon Montour D Simon Edvinsson G John Gibson UTIL Emmitt Finnie W Lucas Raymond W Clayton Keller W JJ Peterka,,Brayden Point,C,8.28%,6
42,4990814964,jaker1soe (2/2),0,98.4,C Nazem Kadri C Anthony Cirelli D Darren Raddysh D Ben Chiarot G Dustin Wolf UTIL Joel Farabee W Nikita Kucherov W Brandon Hagel W Yegor Sharangovich,,Jonathan Huberdeau,W,8.28%,11.5
43,4990849538,wakeringer,0,98.00001,C Anze Kopitar C Morgan Frost D Brock Faber D Drew Doughty G Dustin Wolf UTIL Rasmus Andersson W Kirill Kaprizov W Adrian Kempe W Mats Zuccarello,,Mikael Backlund,C,8.28%,11.5
44,4990781150,giantsquid (2/3),0,97.4,C Joel Eriksson Ek C Yanni Gourde D Brock Faber D Darren Raddysh G Filip Gustavsson UTIL Mats Zuccarello W Kirill Kaprizov W Matt Boldy W Connor Zary,,Dylan Guenther,UTIL,7.64%,10
44,4991536775,ArtfulPossum,0,97.4,C Auston Matthews C John Tavares D Rasmus Andersson D Mattias Samuelsson G Darcy Kuemper UTIL Conor Garland W Brock Boeser W Jake DeBrusk W Kiefer Sherwood,,William Nylander,W,7.64%,0
46,4991548996,DALLASTILL,0,97.3,C Dylan Larkin C Mikael Backlund D Rasmus Andersson D Jake McCabe G Darcy Kuemper UTIL Patrick Kane W Alex DeBrincat W Lucas Raymond W Blake Coleman,,Mattias Samuelsson,D,7.64%,0
47,4991422021,jagibbs22 (4/5),0,96.700005,C Joel Eriksson Ek C Josh Norris D Brock Faber D Elias-Nils Pettersson G Ukko-Pekka Luukkonen UTIL Josh Doan W Kirill Kaprizov W Matt Boldy W Jason Zucker,,Kiefer Sherwood,W,7.64%,10.5
48,4990549748,weisserman13,0,96.600006,C Joel Eriksson Ek C Nicolas Roy D Moritz Seider D Jonas Brodin G Darcy Kuemper UTIL Dylan Larkin W Matt Boldy W Lucas Raymond W Bobby McMann,,Drew Doughty,D,7.01%,5.8
49,4989838054,deuceswildixi (1/2),0,95.7,C John Tavares C Andrew Copp D Darren Raddysh D Axel Sandin-Pellikka G John Gibson UTIL Patrick Kane W William Nylander W Alex DeBrincat W Easton Cowan,,Mats Zuccarello,W,7.01%,3
49,4989862017,deuceswildixi (2/2),0,95.7,C John Tavares C Andrew Copp D Darren Raddysh D Axel Sandin-Pellikka G John Gibson UTIL Patrick Kane W William Nylander W Alex DeBrincat W Easton Cowan,,John Gibson,G,7.01%,40.3
51,4990737225,jtmistre,0,95.200005,C Nazem Kadri C Aatu Raty D Rasmus Andersson D Darren Raddysh G Darcy Kuemper UTIL Kiefer Sherwood W Nikita Kucherov W Brandon Hagel W Jason Zucker,,Jake Guentzel,W,6.37%,7.3
52,4990290319,gordylamb,0,94.399994,C Anthony Cirelli C Morgan Frost D Moritz Seider D Darren Raddysh G John Gibson UTIL Dylan Larkin W Alex DeBrincat W Jonathan Huberdeau W Emmitt Finnie,,Vince Dunn,D,6.37%,0
53,4990505260,I_Slewfoot_U (3/5),0,94.1,C Nazem Kadri C Morgan Frost D Quinn Hughes D Darren Raddysh G Jonas Johansson UTIL Brock Boeser W Nikita Kucherov W Conor Garland W Yegor Sharangovich,,Conor Timmins,D,5.73%,2.8
