Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Collin Graf (41238259),Collin Graf,41238259,W/UTIL,3000,DAL@SJS 12/18/2025 10:00PM ET,SJS,6.10
C,Dalibor Dvorsky (41237941),Dalibor Dvorsky,41237941,C/UTIL,3000,NYR@STL 12/18/2025 08:00PM ET,STL,4.58
LW,Robby Fabbri (41238251),Robby Fabbri,41238251,W/UTIL,3000,NYR@STL 12/18/2025 08:00PM ET,STL,5.2
D,J.J. Moser (41238649),J.J. Moser,41238649,D/UTIL,3000,LAK@TBL 12/18/2025 07:00PM ET,TBL,6.20
RW,Kent Johnson (41238263),Kent Johnson,41238263,W/UTIL,2900,MIN@CBJ 12/18/2025 07:00PM ET,CBJ,5.3
C,Adam Henrique (41237947),Adam Henrique,41237947,C/UTIL,2900,EDM@BOS 12/18/2025 07:00PM ET,EDM,6.09
D,Nikita Zadorov (41238653),Nikita Zadorov,41238653,D/UTIL,2900,EDM@BOS 12/18/2025 07:00PM ET,BOS,6.62
D,Owen Power (41238659),Owen Power,41238659,D/UTIL,2900,PHI@BUF 12/18/2025 07:30PM ET,BUF,5.36
D,Yan Kuznetsov (41238655),Yan Kuznetsov,41238655,D/UTIL,2900,SEA@CGY 12/18/2025 09:00PM ET,CGY,5.94
C,Ryan Greene (41237945),Ryan Greene,41237945,C/UTIL,2900,CHI@MTL 12/18/2025 07:00PM ET,CHI,4.27
RW,Ryan Donato (41238261),Ryan Donato,41238261,W/UTIL,2900,CHI@MTL 12/18/2025 07:00PM ET,CHI,5.78
LW,Kevin Hayes (41238271),Kevin Hayes,41238271,W/UTIL,2900,PIT@OTT 12/18/2025 07:00PM ET,PIT,5.28
LW,Michael Amadio (41238273),Michael Amadio,41238273,W/UTIL,2900,PIT@OTT 12/18/2025 07:00PM ET,OTT,6.24
D,Jordan Spence (41238661),Jordan Spence,41238661,D/UTIL,2900,PIT@OTT 12/18/2025 07:00PM ET,OTT,5.58
LW,Mathieu Joseph (41238265),Mathieu Joseph,41238265,W/UTIL,2900,NYR@STL 12/18/2025 08:00PM ET,STL,4.24
D,Joel Edmundson (41238657),Joel Edmundson,41238657,D/UTIL,2900,LAK@TBL 12/18/2025 07:00PM ET,LAK,6.12
RW,Max Domi (41238267),Max Domi,41238267,W/UTIL,2900,TOR@WSH 12/18/2025 07:00PM ET,TOR,5.36
RW,Easton Cowan (41238269),Easton Cowan,41238269,W/UTIL,2900,TOR@WSH 12/18/2025 07:00PM ET,TOR,5.87
D,Jake Middleton (41238675),Jake Middleton,41238675,D/UTIL,2800,MIN@CBJ 12/18/2025 07:00PM ET,MIN,4.84
RW,Michael Eyssimont (41238275),Michael Eyssimont,41238275,W/UTIL,2800,EDM@BOS 12/18/2025 07:00PM ET,BOS,6.86
LW,Matej Blumel (41238277),Matej Blumel,41238277,W/UTIL,2800,EDM@BOS 12/18/2025 07:00PM ET,BOS,2.15
LW,Carl Grundstrom (41238279),Carl Grundstrom,41238279,W/UTIL,2800,PHI@BUF 12/18/2025 07:30PM ET,PHI,7.73
D,Emil Andrae (41238665),Emil Andrae,41238665,D/UTIL,2800,PHI@BUF 12/18/2025 07:30PM ET,PHI,4.99
D,Michael Kesselring (41238671),Michael Kesselring,41238671,D/UTIL,2800,PHI@BUF 12/18/2025 07:30PM ET,BUF,3.3
RW,Kaapo Kakko (41238283),Kaapo Kakko,41238283,W/UTIL,2800,SEA@CGY 12/18/2025 09:00PM ET,SEA,3.84
D,Ryan Lindgren (41238667),Ryan Lindgren,41238667,D/UTIL,2800,SEA@CGY 12/18/2025 09:00PM ET,SEA,4.76
C,Jason Dickinson (41237949),Jason Dickinson,41237949,C/UTIL,2800,CHI@MTL 12/18/2025 07:00PM ET,CHI,5.22
LW,David Perron (41238287),David Perron,41238287,W/UTIL,2800,PIT@OTT 12/18/2025 07:00PM ET,OTT,5.46
D,Dmitry Orlov (41238673),Dmitry Orlov,41238673,D/UTIL,2800,DAL@SJS 12/18/2025 10:00PM ET,SJS,6.24
LW,Conor Sheary (41238285),Conor Sheary,41238285,W/UTIL,2800,NYR@STL 12/18/2025 08:00PM ET,NYR,4.85
