Player,Position,Team
Mavrik Bourque,C,DAL
Max Crozier,D,T.B
Max Domi,C,TOR
Max Jones,L,EDM
Max Sasson,C,VAN
Max Shabanov,R,NYI
Maxim Tsyplakov,R,NYI
Michael Amadio,R,OTT
Michael Brandsegg-Nygård,R,DET
Michael Bunting,L,NSH
Michael Callahan,D,BOS
Michael Carcone,L,UTA
Michael Eyssimont,C,BOS
Michael Kesselring,D,BUF
Michael McCarron,C,NSH
Michael Misa,C,S.J
Michael Rasmussen,C,DET
Mika Zibanejad,C,NYR
Mikael Backlund,C,CGY
Mikael Granlund,C,ANA
Mike Matheson,D,MTL
Mike Reilly,D,CAR
Mikey Anderson,D,L.A
Mikhail Sergachev,D,UTA
Mikko Rantanen,R,DAL
Miles Wood,L,CBJ
Miro Heiskanen,D,DAL
Mitch Marner,R,VGK
Mitchell Chaffee,R,T.B
Morgan Barron,C,WPG
Morgan Frost,C,CGY
Morgan Geekie,C,BOS
Morgan Rielly,D,TOR
Moritz Seider,D,DET
Nate Danielson,C,DET
Nate Schmidt,D,UTA
Nathan Bastian,R,DAL
Nathan Légaré,R,N.J
Nathan MacKinnon,C,COL
Nathan Walker,L,STL
Nazem Kadri,C,CGY
Neal Pionk,D,WPG
Nic Dowd,C,WSH
Nicholas Robertson,L,TOR
Nick Bjugstad,C,STL
Nick Blankenburg,D,NSH
Nick Cousins,C,OTT
Nick DeSimone,D,UTA
Nick Foligno,L,CHI
Nick Jensen,D,OTT
Nick Lardis,L,CHI
Nick Leddy,D,S.J
Nick Paul,L,T.B
Nick Perbix,D,NSH
Nick Schmaltz,C,UTA
Nick Seeler,D,PHI
Nick Suzuki,C,MTL
Nico Daws,G,N.J
Nico Hischier,C,N.J
Nico Sturm,C,MIN
Nicolas Aube-Kubel,R,MIN
Nicolas Deslauriers,L,PHI
Nicolas Hague,D,NSH
Nicolas Roy,C,TOR
Nikita Chibrikov,R,WPG
Nikita Grebenkin,R,PHI
Nikita Kucherov,R,T.B
Nikita Nesterenko,C,ANA
Nikita Tolopilo,G,VAN
Nikita Zadorov,D,BOS
Niko Mikkola,D,FLA
Nikolaj Ehlers,L,CAR
Nikolas Matinpalo,D,OTT
Nils Aman,C,VAN
Nils Hoglander,L,VAN
Nils Lundkvist,D,DAL
Nino Niederreiter,R,WPG
Noah Cates,L,PHI
Noah Dobson,D,MTL
Noah Gregor,L,FLA
Noah Hanifin,D,VGK
Noah Juulsen,D,PHI
Noah Laba,C,NYR
Noah Ostlund,C,BUF
Noah Philp,C,EDM
Noel Acciari,C,PIT
Olen Zellweger,D,ANA
Oliver Bjorkstrand,R,T.B
Oliver Ekman-Larsson,D,TOR
Oliver Kapanen,C,MTL
Oliver Moore,C,CHI
Olle Lycksell,R,OTT
Olli Määttä,D,UTA
Ondrej Palat,L,N.J
Oscar Fisker Molgaard,C,SEA
Oskar Bäck,C,DAL
Oskar Sundqvist,C,STL
Owen Beck,C,MTL
Owen Pickering,D,PIT
Owen Power,D,BUF
Owen Tippett,R,PHI
Ozzy Wiesblatt,C,NSH
P.O Joseph,D,VAN
Parker Ford,C,WPG
Parker Kelly,C,COL
Parker Wotherspoon,D,PIT
Patrick Giles,R,S.J
Patrick Kane,R,DET
Patrik Laine,L,MTL
Paul Cotter,L,N.J
Pavel Buchnevich,L,STL
Pavel Dorofeyev,R,VGK
Pavel Mintyukov,D,ANA
Pavel Zacha,C,BOS
Pavol Regenda,L,S.J
Petr Mrazek,G,ANA
Peyton Krebs,C,BUF
Philip Broberg,D,STL
Philip Tomasino,R,PIT
Philipp Grubauer,G,SEA
Philipp Kurashev,C,S.J
Philippe Myers,D,TOR
Phillip Danault,C,L.A
Pierre-Luc Dubois,L,WSH
Pius Suter,C,STL
Pontus Holmberg,R,T.B
Pyotr Kochetkov,G,CAR
Quinn Hughes,D,"MIN, VAN"
Quinn Hutson,R,EDM
Quinton Byfield,R,L.A
Radek Faksa,C,DAL
Radko Gudas,D,ANA
Rasmus Andersson,D,CGY
Rasmus Dahlin,D,BUF
Rasmus Ristolainen,D,PHI
Rasmus Sandin,D,WSH
Reid Schaefer,L,NSH
Reilly Smith,R,VGK
Rickard Rakell,R,PIT
Ridly Greig,C,OTT
Riley Tufte,L,BOS
Robby Fabbri,C,STL
Robert Thomas,C,STL
Rodrigo Abols,C,PHI
Roman Josi,D,NSH
Roope Hintz,C,DAL
Rory Kerins,C,CGY
Ross Colton,C,COL
Ross Johnston,L,ANA
Rutger McGroarty,R,PIT
Ryan Donato,C,CHI
Ryan Graves,D,PIT
Ryan Greene,C,CHI
Ryan Hartman,R,MIN
Ryan Johnson,D,BUF
Ryan Leonard,R,WSH
Ryan Lindgren,D,SEA
Ryan Lomberg,L,CGY
Ryan McDonagh,D,T.B
Ryan McLeod,C,BUF
Ryan Nugent-Hopkins,C,EDM
Ryan O'Reilly,C,NSH
Ryan Poehling,C,ANA
Ryan Pulock,D,NYI
Ryan Reaves,R,S.J
Ryan Shea,D,PIT
Ryan Strome,C,ANA
Ryan Winterton,C,SEA
Ryker Evans,D,SEA
Sam Bennett,C,FLA
Sam Carrick,C,NYR
Sam Colangelo,R,ANA
Sam Dickinson,D,S.J
Sam Lafferty,C,CHI
Sam Malinski,D,COL
Sam Montembeault,G,MTL
Sam Morton,C,CGY
Sam Poulin,R,PIT
Sam Reinhart,C,FLA
Sam Rinzel,D,CHI
Sam Steel,C,DAL
Sammy Blais,L,TOR
Samuel Ersson,G,PHI
Samuel Girard,D,COL
Samuel Helenius,C,L.A
Samuel Honzek,L,CGY
Samuel Montembeault,G,MTL
Scott Laughton,C,TOR
Scott Mayfield,D,NYI
Scott Morrow,D,NYR
Scott Sabourin,R,T.B
Scott Wedgewood,G,COL
Seamus Casey,D,N.J
Sean Couturier,C,PHI
Sean Durzi,D,UTA
Sean Kuraly,C,BOS
Sean Monahan,C,CBJ
Sean Walker,D,CAR
Sebastian Aho,C,CAR
Sergei Bobrovsky,G,FLA
Sergei Murashov,G,PIT
Seth Jarvis,C,CAR
Seth Jones,D,FLA
Shakir Mukhamadullin,D,S.J
Shane Lachance,L,N.J
Shane Pinto,C,OTT
Shane Wright,C,SEA
Shayne Gostisbehere,D,CAR
Shea Theodore,D,VGK
Sidney Crosby,C,PIT
Simon Benoit,D,TOR
Simon Edvinsson,D,DET
Simon Holmstrom,R,NYI
Simon Nemec,D,N.J
Sonny Milano,L,WSH
Spencer Knight,G,CHI
Spencer Stastney,D,"EDM, NSH"
Stefan Noesen,R,N.J
Stephen Halliday,C,OTT
Steven Lorentz,C,TOR
Steven Santini,D,T.B
Steven Stamkos,C,NSH
Stuart Skinner,G,"EDM, PIT"
Tage Thompson,C,BUF
Tanner Jeannot,L,BOS
Tanner Pearson,L,WPG
Taylor Hall,L,CAR
Taylor Makar,L,COL
Taylor Raddysh,R,NYR
Teddy Blueger,C,VAN
Teuvo Teravainen,C,CHI
Thatcher Demko,G,VAN
Thomas Chabot,D,OTT
Thomas Harley,D,DAL
Thomas Milic,G,WPG
Tim Stützle,C,OTT
Timo Meier,R,N.J
Timothy Liljegren,D,S.J
Tom Willander,D,VAN
Tom Wilson,R,WSH
Tomas Hertl,C,VGK
Tommy Novak,C,PIT
Tony DeAngelo,D,NYI
Travis Hamonic,D,DET
Travis Konecny,R,PHI
Travis Mitchell,D,NYI
Travis Sanheim,D,PHI
Trent Frederic,C,EDM
Trent Miner,G,COL
Trevor Kuntar,C,BUF
Trevor Moore,L,L.A
Trevor van Riemsdyk,D,WSH
Trevor Zegras,C,PHI
Tristan Broz,C,PIT
Tristan Jarry,G,"EDM, PIT"
Tristen Nielsen,C,COL
Troy Stecher,D,"EDM, TOR"
Troy Terry,R,ANA
Ty Dellandrea,C,S.J
Ty Emberson,D,EDM
Ty Murchison,D,PHI
Tye Kartye,L,SEA
Tyler Bertuzzi,L,CHI
Tyler Kleven,D,OTT
Tyler Myers,D,VAN
Tyler Pitlick,C,MIN
Tyler Seguin,C,DAL
Tyler Toffoli,C,S.J
Tyler Tucker,D,STL
Tyson Foerster,R,PHI
Tyson Jost,C,NSH
Tyson Kozak,C,BUF
Ukko-Pekka Luukkonen,G,BUF
Urho Vaakanainen,D,NYR
Uvis Balinskis,D,FLA
Valeri Nichushkin,R,COL
Vasily Podkolzin,R,EDM
Victor Hedman,D,T.B
Victor Mancini,D,VAN
Victor Olofsson,L,COL
Victor Soderstrom,D,BOS
Viktor Arvidsson,L,BOS
Ville Husso,G,ANA
Ville Koivunen,R,PIT
Vince Dunn,D,SEA
Vincent Desharnais,D,S.J
Vincent Iorio,D,S.J
Vincent Trocheck,C,NYR
Vinnie Hinostroza,C,MIN
Vitek Vanecek,G,UTA
Vladimir Tarasenko,R,MIN
Vladislav Gavrikov,D,NYR
Vladislav Kolyachonok,D,DAL
Vladislav Namestnikov,C,WPG
Vyacheslav Buteyets,G,ANA
Warren Foegele,L,L.A
Will Borgen,D,NYR
Will Cuylle,L,NYR
Will Smith,C,S.J
William Carrier,L,CAR
William Eklund,L,S.J
William Karlsson,C,VGK
William Nylander,R,TOR
Wyatt Johnston,C,DAL
Wyatt Kaiser,D,CHI
Xavier Parent,C,N.J
Yakov Trenin,C,MIN
Yan Kuznetsov,D,CGY
Yanni Gourde,C,T.B
Yaroslav Askarov,G,S.J
Yegor Chinakhov,R,CBJ
Yegor Sharangovich,C,CGY
Zach Aston-Reese,"C, L",CBJ
Zach Benson,L,BUF
Zach Bogosian,D,MIN
Zach Hyman,L,EDM
Zach Metsa,D,BUF
Zach Werenski,D,CBJ
Zach Whitecloud,D,VGK
Zachary Bolduc,R,MTL
Zack Bolduc,R,MTL
Zack MacEwen,R,N.J
Zack Ostapchuk,C,S.J
Zakhar Bardakov,C,COL
Zayne Parekh,D,CGY
Zeev Buium,D,"MIN, VAN"
Zemgus Girgensons,C,T.B
